subject,predicate,object,
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F,ifo:if_id,800126_2590014F1021_1_015_1F,dummy predicate
https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/800126_2590014F1021_1_12,ifo:pi_id,800126_2590014F1021_1_12,dummy predicate
https://www.info.pmda.go.jp/go/interview/1/800126_2590014F1021_1_015_1F,ifo:yjcode,"2590014F1021, 2590014F2028",
,,,
2590014F1021,ifo:if_0_8,ベタニス錠 25mg,
2590014F1021,ifo:if_0_9,フィルムコーティング錠,
2590014F1021,ifo:if_0_11,1 錠中にミラベグロン 25mg を含有する。,
2590014F1021,ifo:if_0_13,2011-07-01,
2590014F1021,ifo:if_0_14,2011-09-12,
2590014F1021,ifo:if_0_15,2011-09-16,
2590014F1021,ifo:if_10_8,22300AMX00592,
2590014F1021,ifo:yakka_code,2590014F1021,
2590014F1021,ifo:yj_code,2590014F1021,
2590014F1021,ifo:hot_code,120932701,
2590014F1021,ifo:resept_code,622093201,
,,,
2590014F2028,ifo:if_0_8,ベタニス錠 50mg,
2590014F2028,ifo:if_0_9,フィルムコーティング錠,
2590014F2028,ifo:if_0_11,1 錠中にミラベグロン 50mg を含有する。,
2590014F2028,ifo:if_0_13,2011-07-01,
2590014F2028,ifo:if_0_14,2011-09-12,
2590014F2028,ifo:if_0_15,2011-09-16,
2590014F2028,ifo:if_10_8,22300AMX00593,
2590014F2028,ifo:yakka_code,2590014F2028,
2590014F2028,ifo:yj_code,2590014F2028,
2590014F2028,ifo:hot_code,120933401,
2590014F2028,ifo:resept_code,622093301,
